"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 29 13:14:02 PET 2022","Wed Jun 29 13:14:17 PET 2022","14906","","BestBuy search filters: Search. Filter by Rating","","BestBuy search filters: Search. Filter by Rating","Then every listed product has the selected rating: 2","Then every listed product has the selected rating: 2",""
"skipped","Wed Jun 29 13:12:39 PET 2022","Wed Jun 29 13:12:39 PET 2022","0","","BestBuy search filters: Search. Filter by Brand","","BestBuy search filters: Search. Filter by Brand","And filters by brand: Dell","And filters by brand: Dell",""
"passed","Wed Jun 29 13:13:10 PET 2022","Wed Jun 29 13:13:14 PET 2022","4387","","BestBuy search filters: Search. Filter by Television Type","","BestBuy search filters: Search. Filter by Television Type","Given the user is on the BestBuy home page","Given the user is on the BestBuy home page",""
"passed","Wed Jun 29 13:12:56 PET 2022","Wed Jun 29 13:12:58 PET 2022","1641","","BestBuy search filters: Search. Filter by Brand","","BestBuy search filters: Search. Filter by Brand","And filters by brand: Lenovo","And filters by brand: Lenovo",""
"passed","Wed Jun 29 13:14:01 PET 2022","Wed Jun 29 13:14:02 PET 2022","1452","","BestBuy search filters: Search. Filter by Rating","","BestBuy search filters: Search. Filter by Rating","And filters by rating: 2","And filters by rating: 2",""
"passed","Wed Jun 29 13:14:57 PET 2022","Wed Jun 29 13:15:09 PET 2022","11613","","BestBuy search filters: Search. Filter by Rating","","BestBuy search filters: Search. Filter by Rating","When the user searches for cellphones","When the user searches for cellphones",""
"passed","Wed Jun 29 13:16:23 PET 2022","Wed Jun 29 13:16:34 PET 2022","10695","","BestBuy search filters: Search. Filter by Custom Price","","BestBuy search filters: Search. Filter by Custom Price","Then every listed product has a price between 100 and 200","Then every listed product has a price between 100 and 200",""
"passed","Wed Jun 29 13:15:31 PET 2022","Wed Jun 29 13:15:33 PET 2022","2223","","BestBuy search filters: Search. Filter by Price","","BestBuy search filters: Search. Filter by Price","Given the user is on the BestBuy home page","Given the user is on the BestBuy home page",""
"passed","Wed Jun 29 13:12:44 PET 2022","Wed Jun 29 13:12:56 PET 2022","12550","","BestBuy search filters: Search. Filter by Brand","","BestBuy search filters: Search. Filter by Brand","When the user searches for laptop","When the user searches for laptop",""
"passed","Wed Jun 29 13:13:30 PET 2022","Wed Jun 29 13:13:40 PET 2022","10189","","BestBuy search filters: Search. Filter by Television Type","","BestBuy search filters: Search. Filter by Television Type","Then every listed product has the selected television type: Smart","Then every listed product has the selected television type: Smart",""
